"#Sales/#Orders","#Vendas/#Pedidos"
"to","para"
"Feedback","Comentários"
"Attached Files","Arquivos anexados"
"From Admin","De Admin"
"From","A partir de"
"on","em"
"Message","mensagem"
"version","versão"
"Sent","Enviei"
"Not Sent","Não enviado"
"1 Domains","1 domínio"
"2 Domains","2 domínios"
"5 Domains","5 domínios"
"10 Domains","10 domínios"
"Unlimited Domain","Domínios Ilimitados"
"Developer","Desenvolvedor"
"Enable","Habilitar"
"Disable","Desabilitar"
"License Info","Informações sobre licença"
"Extension Feedbacks","Feedback de extensão"
"This feedback is already sent to Magestore.com","Seu feedback foi enviado para Magestore.com"
"This feedback had been sent to Magestore.com","Seu feedback foi enviado para Magestore.com"
"This message is already sent","Esta mensagem foi enviada"
"This message had been sent","Esta mensagem foi enviada"
"Item was successfully saved","Item atualizado com sucesso"
"Unable to find item to save","Não foi possível encontrar um item para salvar"
"Item was successfully deleted","Item excluído com sucesso"
"for upgrade to","para atualizar para"
"Upgrade Now","Atualize agora"
"Delete File","Excluir arquivo"
"Transaction Detail","Detalhes da transação"
"Transaction Detail:","Detalhes da transação:"
"Order Number","Número do pedido"
"Add More","Adicione mais"
"Sent to","Enviado para"
"Purchase now","Compre agora"
"Upgrade License to","Atualizar licença para"
"View Price","Visualizar preço"
"Select contact to send email","Selecione o email de contatos"
"You can use this suggested message or, better yet, write your own on the popup","Você pode usar a mensagem sugerida ou escrever uma mensagem personalizada"
"There are no data matching this selection.","Nenhum dado corresponde aos critérios."
"There are no commission matching this selection.","Não há comissões que correspondam aos critérios."
"There are no withdrawals matching this selection.","Não há retiradas que correspondam aos critérios."
"Affiliate Type","Calcular as comissões com base em"
"Affiliate commission type","Tipo de comissão de Afiliados"
"Affiliate commission","Comissão de Afiliados"
"Affiliate discount type","Tipo de desconto de Afiliado"
"Affiliate discount","Desconto de Afiliado"
"Expired Time (days)","Tempo de expiração (dias)"
"Discount type","Tipo de desconto"
"Additional Sales Commission","Comissão de vendas adicional"
"Sales calculation type","Tipo de cálculo de vendas"
"Additional commission type","Tipo de comissão adicional"
"Enable monthly commission added","Ativar comissão mensal adicional"
"Enable yearly commission added","Ativar comissão anual adicional"
"Visible in Frontend","Visível no Frontend"
"Refer Friend Configuration","Indique a configuração do amigo"
"Personal Url Prefix","Prefixo de URL pessoal"
"Refer Friend Description","Indique a Descrição do Amigo"
"Sharing Description","Compartilhando Descrição"
"Default Content of Invitation Email","Conteúdo padrão do email de convite"
"Yahoo Application ID","ID do aplicativo do Yahoo"
"Yahoo Consumer Key","Chave do consumidor do Yahoo"
"Yahoo Consumer Secret","Segredo do consumidor do Yahoo"
"Google Consumer Key","Chave do consumidor do Google"
"Google Consumer Secret","Segredo do Consumidor do Google"
"Window Live Client ID","ID do cliente do Windows Live"
"Window Live Client Secret","Segredo do Windows Live Client"
"Default Shared Message","Mensagem compartilhada padrão"
"Facebook Application ID","ID do aplicativo do Facebook"
"Facebook Application Secret","Segredo do Aplicativo do Facebook"
"Payment Configuration","Configuração de pagamento"
"Add commission to account balance when order state is","Adicione comissões a um saldo de conta quando o estado do pedido for"
"Subtract commission from affiliate account balance when credit memo is created","Subtrair comissão do saldo da conta de Afiliados quando a nota de crédito é criada"
"Payment release","Liberação de pagamento"
"Paypal payment method","Método de pagamento Paypal"
"Who pay fees","Quem paga taxas"
"Scope Configuration","Configuração do escopo"
"Account Balance Scope","Escopo do saldo da conta"
"Material Configuration","Configuração de Material Promocional"
"Show Material Page","Mostrar página de material promocional"
"Material CMS page","Material Promocional CMS"
"Email Configuration","Configuração de email"
"Send email to new affiliate account","Envie um email de boas-vindas para novas contas de Afiliados"
"Send email to affiliate account when transaction is created","Afiliados de email quando as transações são criadas"
"Send email to sales when transaction is created","Vendas por e-mail quando as transações são criadas"
"Send email to affiliate account when transaction is updated (cancel or completed)","Afiliados de email quando as transações são atualizadas (canceladas ou concluídas)"
"Send email to sales when affiliate account requests payment","Vendas por e-mail quando um Afiliado solicita pagamento"
"Email template sent to new affiliate account","Modelo de email enviado para novos Afiliados"
"Email template sent to affiliate account approved","Modelo de e-mail enviado aos Afiliados quando eles são aprovados"
"Email template sent to affiliate account when transaction is created","Modelo de email enviado para Afiliados quando as transações são criadas"
"Email template sent to affiliate account when transaction is updated (cancel or completed)","Modelo de email enviado aos Afiliados quando as transações são atualizadas (canceladas ou concluídas)"
"Email template sent to sales when affiliate account requests payment","Modelo de e-mail enviado para vendas quando os Afiliados solicitam pagamento"
"Email template sent to account when payment is proceeded","Modelo de email enviado para Afiliados quando o pagamento é aprovado"
"Send report email to affiliate account","Enviar relatórios periódicos para Afiliados"
"Frequency of sending report email","Frequência de emails de relatórios"
"Report email template","Reportar modelo de email"
"Refer Friend Email Template","Indique o modelo de e-mail do amigo"
"Affiliate Discount","Desconto de Afiliado"
"Date Created","Data Criada"
"Order Status","Status do pedido"
"Order Subtotal","subtotal do pedido"
"There is no affiliate with email address %s. Please enter a different one."," "Não há Afiliado com o endereço de e-mail %s. Por favor, digite um diferente."
"There is no affiliate account with this email address. Please enter a different one.","Não há uma conta de Afiliado com este endereço de e-mail. Por favor, digite um diferente."
"Documents and Help","Documentos e Ajuda"
"Affiliate Plus Installation","Instalação do Afiliado Plus"
"Affiliate Plus Installation Guide","Guia de instalação do Afiliado Plus"
"Affiliate Plus Plugin Installation Guide","Guia de instalação de plug-in do Afiliado Plus"
"Affiliate Plus User Guide","Guia do Usuário do Afiliado Plus"
"Affiliate Plus Standard User Guide","Guia do Usuário Padrão do Afiliado Plus"
"Affiliate Plus Payment User Guide","Guia do Utilizador de Pagamento do Afiliado Plus"
"Advanced Banner Configuration","Configuração Avançada de Banner"
"Enable Advanced Banner Plugin","Ativar o plug-in de banner avançado"
"Affiliate Plus Advanced Banner User Guide","Guia do Usuário do Banner Avançado do Afiliado Plus"
"Affiliate Plus Commission by Level User Guide","Afiliado Plus Commission by Level Guia do Usuário"
"Commission by Level Configuration","Comissão por configuração de nível"
"Affiliate Plus Coupon Code User Guide","Guia do Usuário do Código de Cupom do Afiliado Plus"
"Terms and Conditions","Termos e Condições"
"The higher the atomic number, the higher the priority.","Quanto maior o número atômico, maior a prioridade."
"Leave blank for not showing Terms and Conditions","Deixe em branco para não exibir os Termos e Condições"
"If you have not had an affiliate account yet, please choose Signup to create a new account quickly.","Se você ainda não possui uma conta de Afiliado, por favor, escolha Inscrição para criar uma nova conta rapidamente."
"Auto create Affiliate account when Customer registers","Criar automaticamente conta de Afiliado quando o cliente registra"
"Used to send emails from system to affiliates. If blank, affiliate system will use general store email address.","Usado para enviar e-mails do sistema para Afiliados. Se estiver em branco, o sistema de Afiliados usará o endereço de e-mail da loja geral."
"Afffiliate URL Parameter","Parâmetro de URL Afiliado"
"Leave blank for default value (acc)","Deixe em branco para o valor padrão (acc)"
"Value Type of Afffiliate URL Parameter","Tipo de valor do parâmetro de URL Afiliado"
"Unhold Transactions","Suspenda Transações"
"Style Configuration","Configuração de estilo"
"Responsive Theme","Tema Responsivo"
"Enable Responsive Theme","Ativar tema responsivo"
"General Style","Estilo Geral"
"Background Color for affiliate's pages","Cor de fundo para páginas de Afiliados"
"Background Color for titles","Cor de fundo para títulos"
"Text Color for titles","Cor do texto para títulos"
"Background Color for sub-titles","Cor de fundo para subtítulos"
"Text Color for sub-titles","Cor do texto para subtítulos"
"Background Color for Social Share buttons","Cor de fundo para botões de compartilhamento social"
"Text Color for Social Share buttons","Cor do texto para botões de compartilhamento social"
"Left Navigation Style","Estilo de Navegação Esquerda"
"Background Color for inactive tabs","Cor de plano de fundo para guias inativas"
"Background Color for active tabs","Cor de plano de fundo para guias ativas"
"Text Color for active tabs","Cor do texto para guias ativas"
"Font size for tab names","Tamanho da fonte para nomes de guias"
"Popup Style","Estilo Popup"
"Background Color for body","Cor de fundo para o corpo"
"Background Color for title","Cor de fundo para o título"
"Text Color for title","Cor do texto para o título"
"Button Style (on the Affiliate Home page)","Estilo do botão (na página inicial do Afiliado)"
"Background Color for Login button","Cor de fundo para o botão Login"
"Background Color for Signup button","Cor de fundo para o botão de inscrição"
"Background Color for Contact button","Cor de fundo para o botão Contato"
"Referring Website","Site de referência"
"Email Template Files","Arquivos de modelo de e-mail"
"Show on My account/ Affiliate Menu","Mostrar na minha conta / menu Afiliado"
"Sub Store Url","URL da sub-loja"
"List Lifetime Customer","Listar o cliente vitalício"
"Update Balance Transactions","Atualizar transações do saldo"
"Affiliate Page Shop","Afiliado Page Shop"
"You cannot add this product to your substore","Você não pode adicionar este produto ao seu substituto"
"The product has been added to your substore successfully.","O produto foi adicionado ao seu sub-solo com sucesso."
"Allow affiliate to get commission from his purchase","Permitir que o Afiliado receba comissão de sua compra"
"Contact Us","Contate-nos"
"Referred By","Indicado por"
"Key Shop","Chave da loja"
"I agree to the terms & conditions","Eu aceito os termos e condições"
"Neighborhood","Bairro"
"Complement","Complemento"
"Update Transactions","Atualizar transações"
"Update Balance","Atualizar saldo"
"Please fill in one of the links from our store such as: product URL, category URL or other pages' URL into the text box below:","Por favor, preencha um dos links da nossa loja, como: URL do produto, URL da categoria ou URL de outras páginas' na caixa de texto abaixo:"
"Clicks (unique/raw): %d/ %d", "Cliques (exclusivos/brutos): %d/ %d"
"Impressions (unique/raw): %d/ %d","Impressões (exclusivos/brutos): %d/ %d"
"Commissions","Comissão"
"Impressions","Impressão"
"Sales Amount","Quantidade de vendas"
"Last 24 Hours","Últimas 24 horas"
"Last 7 Days","Últimos 7 dias"
"Current Month","Mês atual"
"YTD","1 Ano"
"2YTD", "2 Anos"
"Group By","Agrupar por"
"Transaction Status","Status da Transação"
"Any","Qualquer"
"Specified","Especificadas"
"Create a Report","Crie um relatório"
"Please wait...", "Por favor, espere..."
"Click Report",""
"Total Impressions","Impressões totais"
"Impression Report","Relatório de impressões"
